Sort Algorithm, Average, Median, Min, Max
Selection sort (10), 0.00041800, 0.00040000, 0.00030000, 0.00080000
Selection sort (50), 0.00745400, 0.00740000, 0.00640000, 0.00810000
Selection sort (100), 0.02858600, 0.02820000, 0.02570000, 0.05240000
Selection sort (500), 0.45191400, 0.43985000, 0.41690000, 0.60160000
Selection sort (1000), 1.41290400, 1.34305000, 1.30010000, 2.38530000
Selection sort (5000), 22.71297800, 22.48500000, 21.65010000, 26.28500000
Insertion sort (10), 0.00068400, 0.00030000, 0.00020000, 0.00750000
Insertion sort (50), 0.00485000, 0.00490000, 0.00430000, 0.00530000
Insertion sort (100), 0.01834000, 0.01830000, 0.01720000, 0.02100000
Insertion sort (500), 0.41434800, 0.29970000, 0.29090000, 4.31640000
Insertion sort (1000), 1.09002000, 1.05435000, 0.99770000, 1.41070000
Insertion sort (5000), 22.26913000, 21.65945000, 20.55230000, 34.75910000
Bubble sort (10), 0.00037800, 0.00040000, 0.00020000, 0.00050000
Bubble sort (50), 0.00682200, 0.00690000, 0.00610000, 0.00750000
Bubble sort (100), 0.02425400, 0.02435000, 0.02180000, 0.02640000
Bubble sort (500), 0.57344600, 0.52670000, 0.51180000, 0.73370000
Bubble sort (1000), 2.12888200, 2.06405000, 1.96910000, 2.81480000
Bubble sort (5000), 64.57930200, 64.15155000, 61.86210000, 69.77150000
Merge sort (10), 0.00198000, 0.00120000, 0.00110000, 0.00990000
Merge sort (50), 0.01073000, 0.00815000, 0.00690000, 0.02350000
Merge sort (100), 0.02046800, 0.01605000, 0.01450000, 0.05050000
Merge sort (500), 0.10950200, 0.09985000, 0.08350000, 0.15750000
Merge sort (1000), 0.22409600, 0.22485000, 0.17370000, 0.34630000
Merge sort (5000), 1.23249200, 1.19415000, 1.04760000, 1.68690000
Quick sort (10), 0.00031800, 0.00030000, 0.00020000, 0.00040000
Quick sort (50), 0.00220400, 0.00220000, 0.00210000, 0.00240000
Quick sort (100), 0.00506400, 0.00505000, 0.00460000, 0.00550000
Quick sort (500), 0.03189800, 0.03185000, 0.03040000, 0.03430000
Quick sort (1000), 0.06903800, 0.06760000, 0.06460000, 0.11500000
Quick sort (5000), 0.50413800, 0.49835000, 0.48490000, 0.59780000
